"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","数据源-删除脚本","post https://192.168.1.205/api/cmdb/data/source/script/delete"
"passed","Wed Jan 13 10:42:38 CST 2021","Wed Jan 13 10:42:38 CST 2021","0","test_case","test_excel","TestExcel","","","探针列表-探针的关联实例列表","get https://192.168.1.205/api/cmdb/agent/instance/list"
"failed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","配置中心-字典管理更新","post https://192.168.1.205/api/cmdb/sys/dict/update"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","配置中心-字典管理查询","get https://192.168.1.205/api/cmdb/sys/dict/search"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","采集项模型-采集项详情","get https://192.168.1.205/api/cmdb/model/collect-attr/detail"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","实例-快捷查询","get https://192.168.1.205/api/cmdb/model/instance/simple/search"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","16","test_case","test_excel","TestExcel","","","脚本数据源-查询","get https://192.168.1.205/api/cmdb/data/source/script/search"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","用户自定义保存(全部)","post https://192.168.1.205/api/auth/user/custom/save"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","资料管理-部门列表","get https://192.168.1.205/api/auth/department/list"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","配置中心-凭证详情","get https://192.168.1.205/api/cmdb/model/instance/detail/12"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","部门新增","post https://192.168.1.205/api/auth/department/add"
"failed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","角色添加","post https://192.168.1.205/api/auth/role/add"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","网络设备-导入实例","post https://192.168.1.205/api/cmdb/model/instance/import/22"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","凭证-规则绑定实例","post https://192.168.1.205/api/cmdb/model/voucher/rule/bind"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","实例-结构体查询","get https://192.168.1.205/api/cmdb/model/instance/struct/search"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","检查token是否有效","get https://192.168.1.205/api/auth/check/user/token"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","配置中心-删除凭证","post https://192.168.1.205/api/cmdb/model/instance/batch/delete/12"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","模型配置-列表样式保存","post https://192.168.1.205/api/cmdb/model/layout/update"
"passed","Wed Jan 13 10:42:38 CST 2021","Wed Jan 13 10:42:38 CST 2021","0","test_case","test_excel","TestExcel","","","设备扫描-任务编辑","post https://192.168.1.205/api/cmdb/scan/discovery/task"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","模型配置-新增分组成功","post https://192.168.1.205/api/cmdb/sys/common/group/add"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","模型实例数量统计","get https://192.168.1.205/api/cmdb/model/instance/count"
